word,count
ft,20959
across,20905
remained,20845
james,20821
months,20808
sea,20742
died,20741
return,20739
developed,20721
station,20719
result,20697
ten,20692
night,20685
previous,20664
red,20656
political,20644
law,20587
21,20504
william,20501
southern,20434
hurricane,20336
eight,20331
center,20199
too,20106
office,20040
reported,20026
low,19937
areas,19888
felt,19887
noted,19844
various,19824
america,19809
eventually,19801
race,19779
announced,19724
field,19717
son,19700
style,19697
created,19696
reached,19671
miles,19631
22,19579
college,19576
act,19575
japanese,19558
win,19548
construction,19536
award,19474
should,19444
sent,19396
19,19379
2005,19363
seen,19277
’,19171
followed,19156
together,19098
performed,19075
h,19064
served,19030
50,18962
member,18915
2014,18901
northern,18900
full,18875
george,18852
range,18749
killed,18734
level,18678
common,18650
campaign,18607
taken,18602
able,18602
works,18402
action,18384
points,18383
established,18258
originally,18252
chart,18227
born,18220
success,18189
23,18183
body,18165
australian,18159
others,18075
front,18054
mm,18019
appeared,18010
thought,17980
modern,17958
located,17931
!,17919
features,17907
post,17845
project,17839
special,17828
stage,17745
started,17738
football,17729
bridge,17728
get,17728
playing,17727
addition,17700
caused,17688
critics,17662
b,17623
feet,17585
rather,17562
present,17534
decided,17438
fourth,17433
formed,17382
behind,17379
site,17373
heavy,17348
added,17343
sold,17260
championship,17218
every,17156
see,17069
director,17068
david,17068
40,17062
popular,17006
strong,17006
saw,16973
damage,16970
go,16952
completed,16948
population,16947
command,16942
28,16929
almost,16911
important,16803
open,16755
fleet,16752
eastern,16751
close,16744
soon,16732
initially,16714
guns,16709
awards,16704
27,16674
kingdom,16634
2004,16609
art,16600
opened,16577
non,16554
case,16518
re,16509
ground,16474
region,16340
free,16303
leading,16297
weeks,16274
26,16271
michael,16266
2015,16236
coast,16233
worked,16186
france,16171
working,16169
recording,16142
mother,16133
towards,16120
event,16029
hall,16010
scene,15893
ever,15805
mi,15785
sound,15749
records,15725
navy,15724
training,15695
help,15674
least,15660
scored,15659
provided,15652
henry,15647
wanted,15619
cup,15577
brought,15538
average,15536
featured,15486
either,15431
union,15400
allowed,15393
troops,15385
put,15363
does,15354
hit,15335
wife,15298
victory,15280
studio,15270
placed,15250
generally,15241
c,15184
washington,15172
robert,15138
runs,15123
example,15117
events,15106
magazine,15082
200,15013
far,14986
europe,14938
council,14884
2003,14859
500,14849
joined,14828
designed,14824
squadron,14824
29,14799
hours,14757
summer,14730
human,14719
list,14695
mid,14657
nine,14629
opening,14621
believed,14594
japan,14446
replaced,14433
start,14430
mph,14420
official,14419
media,14348
operation,14343
brown,14300
base,14295
involved,14275
police,14241
european,14229
minutes,14226
earlier,14222
rest,14218
finished,14179
society,14136
co,14132
successful,14120
possible,14084
met,14080
saying,14074
crew,14055
shot,14027
radio,14006
significant,14004
al,13990
big,13989
month,13973
association,13950
largest,13923
highest,13911
particularly,13907
review,13901
beginning,13889
2000,13882
films,13879
process,13849
test,13844
available,13830
forced,13758
research,13756
change,13750
2001,13739
captain,13729
outside,13631
taking,13624
cast,13548
°,13535
better,13518
come,13516
charles,13498
turned,13495
increased,13490
ended,13484
stone,13460
must,13443
units,13442
section,13429
community,13392
reviews,13391
social,13388
real,13372
thomas,13369
lower,13368
passed,13353
san,13351
praised,13345
business,13299
hill,13290
going,13267
middle,13245
additional,13242
relationship,13234
move,13229
appearance,13229
2002,13222
above,13221
future,13220
thus,13176
space,13153
goal,13120
canada,13117
enough,13100
winds,13069
ordered,13067
chief,13056
previously,13036
cross,12960
signed,12934
31,12893
infantry,12864
elements,12854
rights,12830
board,12812
gold,12812
staff,12803
california,12795
program,12790
positive,12780
paul,12780
round,12748
d,12721
lake,12712
parts,12690
critical,12672
don,12653
female,12643
interest,12640
spent,12623
castle,12616
gun,12602
told,12593
give,12582
overall,12566
lines,12565
plan,12558
find,12555
attempt,12514
type,12510
directed,12507
musical,12495
brother,12490
committee,12482
failed,12451
required,12401
money,12395
groups,12381
germany,12327
news,12325
district,12279
hand,12262
itself,12241
battalion,12218
india,12218
evidence,12217
prior,12214
sometimes,12211
grand,12187
entire,12119
cover,12114
term,12097
asked,12095
port,12086
election,12084
personal,12070
£,12068
?,12061
press,12058
smith,12019
reception,12016
x,11988
whose,11968
bill,11960
room,11946
study,11916
already,11910
complete,11910
claimed,11906
our,11892
green,11868
square,11834
uk,11829
introduced,11815
background,11813
plot,11812
indian,11810
whom,11788
turn,11785
usually,11784
past,11771
governor,11758
novel,11750
person,11734
students,11729
quickly,11717
t,11712
idea,11707
limited,11702
loss,11697
education,11692
score,11681
effects,11631
speed,11620
peter,11606
movement,11593
response,11582
stars,11567
flight,11566
issue,11565
mark,11543
surface,11515
food,11514
debut,11508
o,11501
commander,11489
arrived,11482
richard,11446
britain,11441
especially,11439
ny,11437
decision,11423
services,11420
minister,11410
blue,11401
woman,11385
anti,11383
department,11377
operations,11368
village,11366
teams,11361
fifth,11352
bay,11343
shows,11338
structure,11337
st.,11306
industry,11295
larger,11294
length,11263
writer,11257
remaining,11243
becoming,11243
science,11240
estimated,11237
queen,11231
episodes,11224
centre,11224
defeated,11221
earth,11217
carried,11212
voice,11207
material,11173
latter,11170
cut,11170
living,11156
civil,11147
pressure,11137
1999,11117
scenes,11096
leaving,11076
commercial,11075
car,11074
changes,11054
running,11053
god,11052
virginia,11040
might,11011
report,10987
suggested,10984
entered,10974
nearly,10966
naval,10964
los,10964
depression,10961
appointed,10944
influence,10933
percent,10933
approximately,10922
date,10908
pop,10874
winning,10866
language,10855
shortly,10842
islands,10838
empire,10833
view,10825
finally,10811
today,10807
child,10783
self,10771
network,10763
dark,10761
tracks,10760
destroyed,10746
proposed,10746
leader,10745
course,10737
daughter,10735
current,10721
hot,10713
wide,10710
producer,10703
higher,10698
spanish,10691
la,10689
experience,10674
size,10650
subsequently,10631
provide,10630
fact,10615
railway,10584
lack,10583
compared,10577
brigade,10575
nature,10572
intended,10553
immediately,10545
married,10540
face,10520
supported,10489
soviet,10472
agreed,10462
regular,10457
cost,10397
awarded,10385
museum,10373
natural,10369
contract,10368
whether,10358
chinese,10356
helped,10355
fans,10350
planned,10338
guitar,10336
manager,10334
professional,10330
officer,10320
chicago,10310
related,10306
health,10298
1998,10298
soldiers,10293
create,10275
upper,10267
fort,10265
longer,10241
your,10225
ball,10225
jackson,10203
done,10198
trade,10188
corps,10184
60,10180
captured,10177
plans,10171
edward,10169
buildings,10168
federal,10144
changed,10133
appear,10123
regiment,10114
associated,10104
private,10101
key,10088
yet,10082
got,10082
something,10080
friends,10080
officers,10071
effect,10061
remains,10051
mostly,10049
feature,10048
books,10046
singles,10042
billboard,10012
themselves,10006
initial,9992
johnson,9991
lord,9970
countries,9970
lyrics,9967
pacific,9967
mixed,9960
probably,9948
really,9935
extended,9912
minor,9905
moving,9885
numerous,9883
forward,9868
friend,9866
information,9817
always,9805
copies,9805
location,9791
issued,9723
difficult,9723
1997,9714
includes,9695
status,9694
energy,9694
leave,9693
atlantic,9681
conference,9679
christian,9678
suffered,9676
dance,9657
singer,9656
ran,9638
cm,9625
via,9621
unit,9619
pass,9610
florida,9599
dead,9596
problems,9594
edition,9592
albums,9589
fight,9574
likely,9565
know,9564
meeting,9553
increase,9536
china,9524
removed,9516
roman,9511
cause,9480
independent,9480
wind,9471
texas,9468
inspired,9454
300,9453
pre,9437
fell,9436
f,9431
poor,9426
terms,9425
primary,9423
majority,9416
creek,9412
35,9395
offered,9381
movie,9379
minute,9347
impact,9343
keep,9341
double,9334
broadcast,9334
winter,9329
st,9324
attacks,9305
standard,9299
goals,9298
mary,9298
here,9288
valley,9280
individual,9267
takes,9254
entertainment,9251
composed,9243
damaged,9242
raised,9239
allow,9236
wall,9230
ranked,9226
need,9224
canadian,9224
male,9217
africa,9207
sales,9199
tons,9195
hour,9193
cyclone,9186
appears,9174
artist,9173
selected,9171
fighting,9170
daily,9169
revealed,9156
discovered,9144
russian,9115
active,9111
era,9091
conditions,9089
model,9084
inside,9072
unable,9069
deep,9067
launched,9065
mission,9063
greater,9057
capital,9041
particular,9038
respectively,9036
wing,9032
morning,9012
1995,9000
issues,8995
numbers,8992
needed,8991
smaller,8988
angeles,8986
certain,8976
below,8974
lived,8971
contains,8960
jack,8957
attempted,8953
attacked,8949
yards,8942
shown,8938
makes,8927
occurred,8924
deal,8923
whole,8920
culture,8908
martin,8906
sister,8892
iii,8865
hard,8865
fall,8849
actor,8834
twenty,8831
elected,8820
defeat,8818
annual,8817
festival,8812
referred,8801
reach,8801
2016,8797
1996,8795
ice,8783
combat,8772
religious,8770
horse,8763
foreign,8762
traditional,8756
theme,8727
market,8726
audience,8726
schools,8724
resulted,8719
largely,8717
think,8711
19th,8707
assigned,8704
metal,8704
covered,8703
interview,8694
peak,8689
commission,8678
variety,8671
girl,8670
listed,8662
collection,8651
1994,8639
heart,8638
prince,8638
complex,8637
sun,8636
competition,8633
earned,8597
80,8595
expected,8580
commented,8580
45,8564
starting,8562
mass,8546
closed,8545
performances,8544
attention,8539
congress,8536
direct,8533
hospital,8507
giving,8503
refused,8494
michigan,8481
economic,8469
greatest,8456
italian,8434
word,8424
ability,8402
wales,8396
stories,8394
notes,8393
tower,8390
native,8386
declared,8380
access,8377
subject,8372
coach,8371
want,8371
look,8368
matches,8367
vocals,8358
bank,8358
clear,8351
letter,8350
things,8345
tv,8330
rate,8328
parliament,8307
stadium,8301
levels,8283
r,8280
stop,8267
oil,8261
nearby,8261
produce,8226
marriage,8219
practice,8195
defense,8192
constructed,8190
concert,8190
advance,8178
fox,8177
blood,8134
1992,8126
source,8123
fantasy,8121
separate,8094
names,8091
highly,8082
means,8064
dvd,8061
writers,8049
1st,8046
sir,8030
medical,8016
yard,8012
directly,8002
executive,8002
legal,8002
ultimately,8001
positions,7999
continue,7975
presented,7975
camp,7974
words,7973
reduced,7969
script,7960
mexico,7953
direction,7939
boy,7929
efforts,7905
animals,7898
formation,7896
houses,7886
tried,7874
attended,7867
sports,7867
box,7865
accepted,7858
studies,7857
stating,7855
call,7849
african,7845
financial,7834
madonna,7823
break,7806
1991,7804
20th,7801
1993,7801
ending,7780
begins,7780
rule,7779
70,7768
hold,7766
organization,7750
enemy,7747
cases,7747
traffic,7741
scotland,7738
multiple,7734
mountain,7734
theatre,7728
engine,7718
author,7717
airport,7715
effort,7712
scott,7691
flying,7686
say,7686
responsible,7683
managed,7674
chris,7671
forms,7667
00,7667
uses,7662
+,7660
resulting,7655
75,7651
jones,7650
zealand,7647
train,7646
tournament,7642
greek,7640
kept,7638
lieutenant,7625
dropped,7621
academy,7621
showed,7619
saint,7614
super,7605
authority,7605
ocean,7596
quality,7586
forest,7583
drive,7579
emperor,7571
combined,7550
acting,7543
silver,7538
founded,7537
policy,7537
plant,7533
continues,7531
administration,7528
weather,7523
inches,7510
secretary,7508
property,7505
trial,7496
systems,7493
subsequent,7487
artists,7479
contemporary,7475
attempts,7470
artillery,7469
inch,7463
prime,7462
true,7457
territory,7455
foot,7455
companies,7415
presence,7399
viewers,7395
allowing,7393
metres,7393
meant,7389
pay,7385
studios,7383
sides,7383
recent,7374
conducted,7371
officials,7369
1942,7368
400,7367
scale,7365
iron,7358
boat,7357
sixth,7349
stand,7349
filming,7328
digital,7311
transferred,7304
parents,7299
scoring,7293
potential,7283
32,7278
maximum,7269
doctor,7269
van,7265
allied,7258
machine,7254
featuring,7250
coming,7244
primarily,7243
therefore,7240
relatively,7240
screen,7234
owned,7233
peaked,7231
theory,7228
becomes,7227
titled,7216
e,7208
remain,7207
student,7206
actually,7202
pilot,7198
piece,7194
grant,7192
tom,7190
approach,7187
distance,7181
portion,7179
marked,7173
pair,7172
temple,7169
concluded,7162
job,7158
spring,7146
republic,7142
manchester,7137
invasion,7135
figure,7126
write,7118
concept,7104
situation,7104
edge,7104
observed,7101
selling,7098
senior,7097
alongside,7095
boston,7095
security,7092
harrison,7091
williams,7090
latin,7084
results,7077
personnel,7076
broke,7076
build,7074
transport,7071
divided,7066
sources,7064
seconds,7060
90,7060
calling,7059
meet,7056
paid,7051
cities,7051
1944,7050
ring,7050
rating,7048
slightly,7047
plays,7041
follow,7038
returning,7037
management,7027
historian,7010
historical,7000
amount,6999
onto,6987
draft,6978
physical,6973
actions,6972
oxford,6967
peace,6956
influenced,6956
activity,6951
innings,6947
arts,6938
meaning,6937
read,6936
soundtrack,6923
u,6917
residents,6917
nothing,6909
designated,6908
promoted,6906
comedy,6904
nominated,6904
1990,6898
frank,6898
passing,6895
cultural,6888
completely,6886
nation,6880
avenue,6867
birds,6867
bond,6866
powerful,6865
louis,6864
mainly,6859
c.,6856
guest,6850
charts,6844
sought,6842
struck,6838
arms,6834
bad,6824
1945,6821
specific,6818
seasons,6817
1941,6813
lane,6813
ancient,6807
sense,6795
prevent,6793
kind,6784
memorial,6782
reaching,6781
bbc,6767
charge,6756
weapons,6752
italy,6745
account,6744
northwest,6738
americans,6729
widely,6728
image,6728
quarter,6717
appearances,6702
ray,6697
let,6695
alone,6691
confirmed,6681
jersey,6669
gained,6663
baseball,6662
2nd,6650
strength,6649
lee,6647
beyond,6646
rose,6637
choice,6636
brothers,6633
ireland,6630
border,6627
older,6626
'm,6624
am,6623
fiction,6618
versions,6614
proved,6611
library,6611
lot,6601
headquarters,6597
feel,6595
explained,6592
defence,6590
says,6586
paris,6585
ahead,6581
focus,6568
join,6567
travel,6563
serve,6560
joseph,6560
1989,6558
kg,6558
causing,6550
comes,6547
rainfall,6543
1943,6538
victoria,6526
expressed,6509
imperial,6503
equipment,6502
tree,6501
workers,6500
admiral,6493
article,6491
reports,6479
hotel,6478
beach,6469
prominent,6459
offensive,6459
drama,6451
advanced,6451
floor,6448
growth,6447
roads,6447
capture,6433
identified,6432
channel,6430
officially,6429
setting,6427
armed,6418
worldwide,6417
bring,6413
except,6409
guard,6408
33,6403
category,6402
care,6397
eye,6396
tells,6396
heavily,6395
northeast,6394
reserve,6392
justice,6388
senate,6387
represented,6381
activities,6379
're,6373
places,6369
treatment,6364
meanwhile,6364
pieces,6363
speech,6353
dr.,6352
content,6351
wood,6348
medal,6348
trees,6342
leaders,6340
figures,6339
stephen,6336
share,6332
matter,6322
leaves,6320
injury,6319
believe,6318
1940,6316
toward,6316
agreement,6313
duke,6312
1980s,6309
conflict,6306
begin,6289
husband,6289
doing,6288
visit,6288
j.,6283
data,6273
lives,6268
fish,6268
unknown,6260
consisted,6254
unlike,6251
fired,6251
l,6249
debuted,6248
walls,6231
escape,6228
jim,6209
laid,6205
computer,6204
secret,6203
aired,6199
argued,6197
hands,6196
reason,6195
birth,6193
stations,6190
typically,6187
cricket,6184
master,6182
mounted,6175
sex,6171
v,6170
twice,6169
severe,6168
claims,6166
1970s,6165
affected,6158
nations,6155
polish,6155
actors,6155
description,6153
reference,6152
rear,6149
opposition,6146
faced,6145
planet,6145
why,6142
cold,6134
notable,6123
maintained,6120
couple,6115
1960s,6114
homer,6114
trying,6112
value,6109
technology,6106
visited,6104
horses,6101
orders,6100
problem,6096
criticized,6094
dutch,6094
beat,6092
landing,6084
animal,6071
carolina,6069
fellow,6068
powers,6065
fully,6062
broken,6058
growing,6052
chosen,6044
develop,6035
branch,6021
institute,6021
scottish,6008
1987,6005
1988,6004
avoid,6003
twelve,6002
producers,6000
frequently,5998
150,5996
paper,5994
mile,5991
kill,5990
formula,5988
electric,5979
wounded,5968
protection,5967
tech,5966
seventh,5962
mind,5957
flag,5956
looking,5949
vice,5943
37,5943
surrounding,5942
36,5938
independence,5933
degree,5933
operated,5926
waters,5916
nuclear,5913
serving,5905
yellow,5904
simply,5887
comic,5886
grew,5879
follows,5875
offer,5874
vote,5870
newspaper,5870
losing,5869
golden,5869
famous,5866
contained,5864
a.,5862
600,5860
assembly,5858
herself,5854
passes,5854
motion,5852
weekly,5850
killing,5848
individuals,5847
ends,5840
christmas,5839
increasing,5837
risk,5829
serious,5827
slow,5814
heard,5812
supply,5811
s.,5806
consecutive,5806
weight,5803
newly,5793
vocal,5792
crossing,5792
republican,5787
taylor,5782
website,5779
supporting,5776
chose,5769
opposed,5761
1986,5759
thing,5756
split,5754
catholic,5753
sequence,5752
volume,5745
participated,5743
themes,5739
actress,5727
gas,5727
adopted,5725
threat,5721
leadership,5721
alexander,5721
billion,5718
rise,5712
bird,5708
capacity,5707
abandoned,5707
disease,5704
standing,5701
joe,5699
colonel,5697
filmed,5696
wilson,5687
creation,5684
expansion,5683
democratic,5679
basis,5678
plants,5675
steel,5675
search,5675
negative,5673
revolution,5671
pennsylvania,5671
composition,5655
failure,5650
creating,5643
prison,5637
gameplay,5636
regarded,5636
historic,5634
possibly,5634
critic,5624
treaty,5622
bodies,5614
sexual,5613
palace,5611
perform,5604
southeast,5604
foundation,5594
el,5592
rare,5584
contact,5580
spain,5576
adult,5574
ideas,5571
harry,5568
zone,5564
retired,5563
b.,5557
mike,5549
extensive,5548
homes,5547
contrast,5541
1990s,5541
bowl,5535
younger,5531
thick,5530
34,5525
canal,5525
roles,5522
hockey,5520
champion,5510
wars,5509
fuel,5508
analysis,5505
color,5501
girls,5497
m.,5495
1939,5494
opera,5489
38,5485
claim,5481
've,5479
urban,5475
improved,5474
expedition,5474
achieved,5471
economy,5468
von,5467
effective,5462
irish,5456
briefly,5454
piano,5442
drew,5432
currently,5431
lady,5429
necessary,5427
vehicles,5422
granted,5420
constitution,5417
defensive,5416
murder,5411
rejected,5410
1985,5410
fame,5407
caught,5406
turns,5405
49,5405
organized,5399
ridge,5399
recently,5397
1968,5393
eyes,5393
normal,5386
kilometres,5386
wild,5385
incident,5384
stay,5383
genus,5382
solo,5378
expanded,5375
interchange,5375
seat,5374
secondary,5374
receive,5373
province,5369
authorities,5368
flooding,5365
commissioned,5363
mount,5362
wave,5360
elizabeth,5358
marine,5352
didn,5351
1970,5350
online,5344
regional,5338
families,5336
leg,5332
successfully,5331
classic,5329
performing,5327
letters,5326
strike,5326
literature,5319
freedom,5314
hero,5313
describes,5312
fought,5309
assistant,5308
determined,5301
reign,5295
agent,5293
safety,5293
picture,5285
1984,5282
types,5278
singing,5278
freeway,5272
budget,5270
acquired,5270
criticism,5267
titles,5265
visual,5262
suggests,5261
commonly,5260
planning,5258
gives,5258
centuries,5251
industrial,5249
supreme,5246
aid,5243
goes,5242
youth,5239
ohio,5238
mentioned,5235
georgia,5232
mr.,5227
cambridge,5226
scheduled,5225
distribution,5220
controlled,5220
purpose,5218
fast,5218
alternative,5215
cavalry,5209
philadelphia,5208
text,5204
arthur,5204
shooting,5202
spread,5196
unique,5189
perhaps,5186
regarding,5186
chance,5185
sets,5185
55,5175
fan,5173
wrestling,5173
tradition,5171
finds,5169
bc,5166
1967,5166
watch,5161
russia,5157
garden,5155
steam,5154
estate,5152
facilities,5150
1980,5144
arrival,5143
save,5142
reading,5137
scientific,5136
korean,5131
containing,5130
session,5128
publication,5127
accompanied,5126
exchange,5124
rules,5123
rated,5120
locations,5117
fighter,5116
torpedo,5115
ceremony,5111
liverpool,5111
finish,5109
trains,5106
quite,5103
evening,5097
selection,5095
moon,5094
entirely,5091
note,5089
nintendo,5088
condition,5086
question,5086
southwest,5084
price,5079
carry,5078
columbia,5077
bob,5077
simple,5076
existing,5075
rain,5075
800,5072
asia,5071
joint,5068
dedicated,5063
intensity,5059
h.,5058
contributed,5056
boats,5050
target,5049
legacy,5049
provides,5044
andrew,5043
purchased,5041
casualties,5038
hits,5031
draw,5030
1983,5030
bishop,5027
jewish,5024
campus,5017
windows,5017
battery,5014
resistance,5011
occupied,5007
sites,5006
carey,5005
reaction,5004
protect,5001
francisco,5000
1969,5000
bass,4997
rail,4993
1964,4992
crown,4990
boys,4988
principal,4985
holding,4980
convention,4979
basketball,4977
n,4971
structures,4971
eighth,4969
promotion,4967
protected,4964
drawn,4961
regions,4959
p.,4956
1914,4951
coastal,4951
heads,4950
deck,4948
receiving,4945
core,4943
closely,4942
host,4938
die,4938
occur,4938
hms,4934
1918,4933
miller,4929
judge,4928
opportunity,4927
laws,4925
turning,4925
playstation,4924
honor,4924
1971,4919
gulf,4915
1982,4912
48,4902
environment,4902
roughly,4901
consists,4899
editor,4896
1972,4895
display,4895
1966,4895
1979,4894
defined,4890
steve,4889
acts,4887
generation,4887
cars,4884
grade,4882
bar,4880
anderson,4875
sr,4873
experienced,4870
anything,4867
olympic,4863
railroad,4862
calls,4862
losses,4860
tax,4860
rolling,4856
try,4855
1965,4841
focused,4837
viewed,4834
brian,4832
engaged,4832
hope,4831
intelligence,4825
#,4824
providing,4824
extra,4818
politics,4818
advantage,4817
developing,4814
65,4812
relations,4810
1975,4804
appeal,4802
religion,4802
3rd,4801
41,4801
brief,4800
rapidly,4797
investigation,4796
shared,4795
hired,4788
males,4784
temperature,4781
credits,4779
germans,4775
task,4774
phase,4773
earl,4770
label,4770
64,4769
walter,4768
everything,4768
introduction,4767
recognized,4764
coal,4760
enter,4760
bands,4753
1974,4753
painting,4752
sign,4743
junior,4743
missing,4742
md,4741
launch,4740
18th,4739
element,4738
1973,4736
nhl,4731
singapore,4730
getting,4729
table,4729
lewis,4727
gain,4722
hollywood,4721
knew,4707
47,4707
davis,4706
g,4702
shape,4698
significantly,4698
hundred,4697
1976,4697
projects,4694
approved,4693
r.,4692
mountains,4691
store,4689
literary,4689
semi,4688
straight,4688
intersection,4688
adding,4686
journal,4679
w.,4675
39,4666
falls,4663
reasons,4661
farm,4648
challenge,4645
disney,4642
opinion,4640
moment,4627
bomb,4624
views,4623
settlement,4623
stages,4621
lands,4619
hip,4618
tank,4617
height,4614
operating,4612
domestic,4611
nor,4610
storyline,4610
poem,4605
soul,4597
renamed,4596
e.,4591
reputation,4590
42,4589
shaped,4585
beyoncé,4583
crime,4582
watched,4582
nevertheless,4580
dog,4580
employed,4579
bell,4579
prepared,4578
allies,4576
popularity,4574
platform,4570
injured,4570
v.,4562
humans,4560
professor,4559
females,4557
ad,4556
thirty,4553
increasingly,4553
fine,4552
cited,4552
kentucky,4552
perfect,4550
relief,4548
franchise,4547
cape,4545
neither,4543
headed,4542
page,4540
cell,4540
models,4539
1946,4539
declined,4539
1981,4537
finding,4535
details,4528
collected,4528
violence,4528
connected,4523
product,4523
internal,4523
jean,4520
converted,4519
existence,4519
assault,4514
sustained,4512
−,4511
enjoyed,4510
hair,4507
1950s,4507
request,4505
controversy,4501
knowledge,4498
mouth,4498
norway,4498
learned,4498
glass,4494
1917,4492
olympics,4481
method,4478
progress,4478
250,4476
46,4475
applied,4474
championships,4471
massachusetts,4470
allows,4469
camera,4464
lap,4455
entry,4454
pro,4454
ways,4451
lincoln,4446
cells,4446
journey,4446
approached,4441
decade,4435
carrying,4434
easily,4432
designs,4431
tests,4428
responded,4427
discovery,4418
1948,4413
chairman,4411
buried,4409
duty,4408
extension,4406
gradually,4401
succeeded,4400
sections,4396
baby,4396
1960,4394
specifically,4393
breeding,4391
acres,4389
43,4388
showing,4388
programs,4388
44,4386
entrance,4384
spirit,4376
iv,4375
trip,4374
simpsons,4373
items,4370
clark,4369
prisoners,4368
sons,4364
prize,4364
mode,4364
arranged,4363
disc,4363
block,4363
1978,4362
credited,4359
genre,4358
gone,4356
similarly,4354
dry,4353
k,4353
statement,4351
crowd,4351
